FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008061202767657845,0.0037173543001739217,0.000805207975557112,0.004084073708205006,0.0017490095903822686,0.0,0.0013143333775949987,0.0012877742694912,0.0
Hydrogen,2030,0.002929705966470316,0.0,0.0,0.00018952595691060022,0.0,7.541896700914273e-11,7.7876579115637e-05,0.0,0.0
Methanol,2030,0.0,3.6992593652938854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.006592284555037039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0005500310501749083,6.470281442104816e-05,0.0,0.0,1.9390252489457824e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0007299738205062008,0.0,0.0,6.63903263035259e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0035155870790577045,4.319298592853693e-05,0.00020635357209299333,0.0030691416041585973,0.0001421047628064,7.395552156903917e-05
Fossil Liquids,2030,0.0,0.0,0.0,0.03388154143360284,0.0003041955337623945,0.0018859603843857395,0.01981415503047408,0.0008601604282301,0.0005287307690825608
Fossil Residuals,2030,0.02636735369823364,1.278976924368188e-20,0.009492208018359441,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0021194958386509316,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0005046587296427075,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0373582624323618,0.0103466314488639,0.0134716016123851,0.0424654048127034,0.0020963981100732,0.0020923140318977,0.0243612871701363,0.0022900394605277,0.0006026862906516
Power,2040,0.009384990025592552,0.0031848319437636245,0.001910415249610606,0.006044872484128935,0.002109193990423787,0.0,0.002961449873160642,0.0013965196095673228,7.197416870899504e-05
Hydrogen,2040,0.00515884584477791,0.0004042752508009327,0.0005839576922230648,0.00010708636846951073,0.0,7.314832058090325e-11,5.232431775037643e-05,0.0,0.0
Methanol,2040,0.0,0.0003493318269486366,0.0,0.00021885494688670665,0.0,0.0,0.0005971900142580768,0.0,2.159225061269852e-05
